# pressure  , temperature 
# [Pa]      , [K] 
7.84611e+06 , 2.16593e+03 
8.62858e+06 , 2.18397e+03 
9.48910e+06 , 2.20200e+03 
1.04354e+07 , 2.21771e+03 
1.14761e+07 , 2.23334e+03 
1.26206e+07 , 2.25072e+03 
1.38793e+07 , 2.26869e+03 
1.52634e+07 , 2.28657e+03 
1.67856e+07 , 2.30452e+03 
1.84596e+07 , 2.32221e+03 
2.03005e+07 , 2.34037e+03 
2.23251e+07 , 2.35973e+03 
2.45515e+07 , 2.38009e+03 
2.70000e+07 , 2.39994e+03 
