# pressure  , U_LW        , D_LW        , N_LW        , U_SW        , D_SW        , N_SW        , U           , D           , N           , C       
# [Pa]      , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2] 
3.88346e+04 , +2.6212e+04 , +8.7944e+03 , +1.7417e+04 , +0.0000e+00 , +1.0130e+02 , -1.0130e+02 , +2.6212e+04 , +8.8957e+03 , +1.7316e+04 , +0.0000e+00 
4.93764e+04 , +2.8626e+04 , +1.1236e+04 , +1.7391e+04 , +0.0000e+00 , +9.4758e+01 , -9.4758e+01 , +2.8626e+04 , +1.1331e+04 , +1.7296e+04 , +0.0000e+00 
6.27798e+04 , +3.1740e+04 , +1.4363e+04 , +1.7377e+04 , +0.0000e+00 , +8.9122e+01 , -8.9122e+01 , +3.1740e+04 , +1.4452e+04 , +1.7288e+04 , +0.0000e+00 
7.98215e+04 , +3.5675e+04 , +1.8304e+04 , +1.7371e+04 , +0.0000e+00 , +8.4220e+01 , -8.4220e+01 , +3.5675e+04 , +1.8388e+04 , +1.7287e+04 , +0.0000e+00 
1.01489e+05 , +4.0697e+04 , +2.3309e+04 , +1.7389e+04 , +0.0000e+00 , +7.9833e+01 , -7.9833e+01 , +4.0697e+04 , +2.3388e+04 , +1.7309e+04 , +0.0000e+00 
1.29039e+05 , +4.7117e+04 , +2.9701e+04 , +1.7416e+04 , +0.0000e+00 , +7.5728e+01 , -7.5728e+01 , +4.7117e+04 , +2.9777e+04 , +1.7340e+04 , +0.0000e+00 
1.64067e+05 , +5.5168e+04 , +3.7708e+04 , +1.7460e+04 , +0.0000e+00 , +7.1744e+01 , -7.1744e+01 , +5.5168e+04 , +3.7780e+04 , +1.7389e+04 , +0.0000e+00 
2.08604e+05 , +6.5537e+04 , +4.8011e+04 , +1.7525e+04 , +0.0000e+00 , +6.7811e+01 , -6.7811e+01 , +6.5537e+04 , +4.8079e+04 , +1.7458e+04 , +0.0000e+00 
2.65230e+05 , +7.8681e+04 , +6.1074e+04 , +1.7607e+04 , +0.0000e+00 , +6.3918e+01 , -6.3918e+01 , +7.8681e+04 , +6.1138e+04 , +1.7543e+04 , +0.0000e+00 
3.37227e+05 , +9.5269e+04 , +7.7554e+04 , +1.7715e+04 , +0.0000e+00 , +6.0092e+01 , -6.0092e+01 , +9.5269e+04 , +7.7614e+04 , +1.7655e+04 , +0.0000e+00 
4.28769e+05 , +1.1662e+05 , +9.8772e+04 , +1.7851e+04 , +0.0000e+00 , +5.6384e+01 , -5.6384e+01 , +1.1662e+05 , +9.8829e+04 , +1.7795e+04 , +0.0000e+00 
5.45159e+05 , +1.4346e+05 , +1.2544e+05 , +1.8021e+04 , +0.0000e+00 , +5.2855e+01 , -5.2855e+01 , +1.4346e+05 , +1.2549e+05 , +1.7968e+04 , +0.0000e+00 
6.93145e+05 , +1.7779e+05 , +1.5954e+05 , +1.8245e+04 , +0.0000e+00 , +4.9573e+01 , -4.9573e+01 , +1.7779e+05 , +1.5959e+05 , +1.8196e+04 , +0.0000e+00 
8.81301e+05 , +2.2140e+05 , +2.0288e+05 , +1.8526e+04 , +0.0000e+00 , +4.6598e+01 , -4.6598e+01 , +2.2140e+05 , +2.0293e+05 , +1.8479e+04 , +0.0000e+00 
1.12053e+06 , +2.7659e+05 , +2.5769e+05 , +1.8900e+04 , +0.0000e+00 , +4.3968e+01 , -4.3968e+01 , +2.7659e+05 , +2.5773e+05 , +1.8856e+04 , +0.0000e+00 
1.42471e+06 , +3.4738e+05 , +3.2798e+05 , +1.9402e+04 , +0.0000e+00 , +4.1686e+01 , -4.1686e+01 , +3.4738e+05 , +3.2802e+05 , +1.9360e+04 , +0.0000e+00 
1.81145e+06 , +4.3686e+05 , +4.1679e+05 , +2.0073e+04 , +0.0000e+00 , +3.9741e+01 , -3.9741e+01 , +4.3686e+05 , +4.1683e+05 , +2.0033e+04 , +0.0000e+00 
