# pressure  , U_LW        , D_LW        , N_LW        , U_SW        , D_SW        , N_SW        , U           , D           , N           , C       
# [Pa]      , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2] 
8.32553e+02 , +5.1436e+04 , +2.8481e+03 , +4.8588e+04 , +0.0000e+00 , +2.3406e+02 , -2.3406e+02 , +5.1436e+04 , +3.0822e+03 , +4.8354e+04 , +0.0000e+00 
1.05855e+03 , +5.2495e+04 , +3.9157e+03 , +4.8579e+04 , +0.0000e+00 , +2.2496e+02 , -2.2496e+02 , +5.2495e+04 , +4.1407e+03 , +4.8354e+04 , +0.0000e+00 
1.34590e+03 , +5.3953e+04 , +5.3846e+03 , +4.8569e+04 , +0.0000e+00 , +2.1493e+02 , -2.1493e+02 , +5.3953e+04 , +5.5995e+03 , +4.8354e+04 , +8.3690e+00 
1.71125e+03 , +5.5955e+04 , +7.3968e+03 , +4.8558e+04 , +0.0000e+00 , +2.0423e+02 , -2.0423e+02 , +5.5955e+04 , +7.6011e+03 , +4.8354e+04 , +7.6244e+01 
2.17577e+03 , +5.8735e+04 , +1.0188e+04 , +4.8547e+04 , +0.0000e+00 , +1.9307e+02 , -1.9307e+02 , +5.8735e+04 , +1.0381e+04 , +4.8354e+04 , +2.6415e+02 
2.76639e+03 , +6.2676e+04 , +1.4141e+04 , +4.8536e+04 , +0.0000e+00 , +1.8169e+02 , -1.8169e+02 , +6.2676e+04 , +1.4322e+04 , +4.8354e+04 , +5.1479e+02 
3.51734e+03 , +6.8119e+04 , +1.9595e+04 , +4.8524e+04 , +0.0000e+00 , +1.7035e+02 , -1.7035e+02 , +6.8119e+04 , +1.9766e+04 , +4.8354e+04 , +8.2387e+02 
4.47214e+03 , +7.5713e+04 , +2.7200e+04 , +4.8513e+04 , +0.0000e+00 , +1.5933e+02 , -1.5933e+02 , +7.5713e+04 , +2.7360e+04 , +4.8354e+04 , +1.1899e+03 
5.68611e+03 , +8.6183e+04 , +3.7680e+04 , +4.8503e+04 , +0.0000e+00 , +1.4892e+02 , -1.4892e+02 , +8.6183e+04 , +3.7829e+04 , +4.8354e+04 , +1.6809e+03 
7.22963e+03 , +1.0058e+05 , +5.2089e+04 , +4.8493e+04 , +0.0000e+00 , +1.3937e+02 , -1.3937e+02 , +1.0058e+05 , +5.2228e+04 , +4.8354e+04 , +2.1304e+03 
9.19213e+03 , +1.2014e+05 , +7.1655e+04 , +4.8485e+04 , +0.0000e+00 , +1.3086e+02 , -1.3086e+02 , +1.2014e+05 , +7.1786e+04 , +4.8354e+04 , +2.5523e+03 
1.16874e+04 , +1.4634e+05 , +9.7865e+04 , +4.8477e+04 , +0.0000e+00 , +1.2346e+02 , -1.2346e+02 , +1.4634e+05 , +9.7989e+04 , +4.8354e+04 , +2.9197e+03 
1.48599e+04 , +1.8099e+05 , +1.3252e+05 , +4.8471e+04 , +0.0000e+00 , +1.1711e+02 , -1.1711e+02 , +1.8099e+05 , +1.3264e+05 , +4.8354e+04 , +3.0781e+03 
1.88937e+04 , +2.2533e+05 , +1.7686e+05 , +4.8466e+04 , +0.0000e+00 , +1.1179e+02 , -1.1179e+02 , +2.2533e+05 , +1.7697e+05 , +4.8354e+04 , +3.0126e+03 
2.40225e+04 , +2.8035e+05 , +2.3189e+05 , +4.8461e+04 , +0.0000e+00 , +1.0731e+02 , -1.0731e+02 , +2.8035e+05 , +2.3200e+05 , +4.8354e+04 , +2.1502e+03 
3.05435e+04 , +3.4603e+05 , +2.9758e+05 , +4.8457e+04 , +0.0000e+00 , +1.0351e+02 , -1.0351e+02 , +3.4603e+05 , +2.9768e+05 , +4.8354e+04 , +1.4347e+03 
3.88346e+04 , +4.2261e+05 , +3.7415e+05 , +4.8454e+04 , +0.0000e+00 , +1.0018e+02 , -1.0018e+02 , +4.2261e+05 , +3.7425e+05 , +4.8354e+04 , +3.2106e+01 
4.93764e+04 , +5.0683e+05 , +4.5838e+05 , +4.8451e+04 , +0.0000e+00 , +9.7124e+01 , -9.7124e+01 , +5.0683e+05 , +4.5847e+05 , +4.8354e+04 , +0.0000e+00 
6.27798e+04 , +5.9940e+05 , +5.5095e+05 , +4.8448e+04 , +0.0000e+00 , +9.4182e+01 , -9.4182e+01 , +5.9940e+05 , +5.5105e+05 , +4.8354e+04 , +0.0000e+00 
