# pressure  , U_LW        , D_LW        , N_LW        , U_SW        , D_SW        , N_SW        , U           , D           , N           , C           , tot      
# [Pa]      , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]  
1.70252e+04 , +7.8465e+04 , +7.7152e+04 , +1.3130e+03 , +9.0214e+02 , +3.2872e+03 , -2.3851e+03 , +7.9367e+04 , +8.0439e+04 , -1.0720e+03 , +1.0720e+03, +7.0569e-06 
2.51383e+04 , +1.1578e+05 , +1.1482e+05 , +9.6128e+02 , +8.8437e+02 , +2.9320e+03 , -2.0477e+03 , +1.1666e+05 , +1.1775e+05 , -1.0864e+03 , +1.0864e+03, +1.7249e-05 
3.71176e+04 , +1.7101e+05 , +1.7019e+05 , +8.1257e+02 , +8.5959e+02 , +2.5793e+03 , -1.7198e+03 , +1.7186e+05 , +1.7277e+05 , -9.0719e+02 , +9.0719e+02, +6.5912e-05 
5.48055e+04 , +2.5276e+05 , +2.5193e+05 , +8.3022e+02 , +8.2587e+02 , +2.2209e+03 , -1.3951e+03 , +2.5359e+05 , +2.5415e+05 , -5.6484e+02 , +5.6484e+02, +8.2733e-04 
8.09222e+04 , +3.7607e+05 , +3.7497e+05 , +1.0947e+03 , +7.8097e+02 , +1.8757e+03 , -1.0947e+03 , +3.7685e+05 , +3.7685e+05 , -1.6071e-09 , +0.0000e+00, -1.6071e-09 
1.19484e+05 , +5.0787e+05 , +5.0705e+05 , +8.1823e+02 , +7.2322e+02 , +1.5414e+03 , -8.1823e+02 , +5.0859e+05 , +5.0859e+05 , -9.2134e-09 , +0.0000e+00, -9.2134e-09 
1.76423e+05 , +6.0410e+05 , +6.0353e+05 , +5.7639e+02 , +6.5178e+02 , +1.2282e+03 , -5.7639e+02 , +6.0475e+05 , +6.0475e+05 , -9.0773e-09 , +0.0000e+00, -9.0773e-09 
2.60495e+05 , +6.7578e+05 , +6.7539e+05 , +3.8572e+02 , +5.6708e+02 , +9.5280e+02 , -3.8572e+02 , +6.7634e+05 , +6.7634e+05 , -6.5960e-09 , +0.0000e+00, -6.5960e-09 
3.84630e+05 , +7.3126e+05 , +7.3101e+05 , +2.4625e+02 , +4.7123e+02 , +7.1748e+02 , -2.4625e+02 , +7.3173e+05 , +7.3173e+05 , -3.9729e-09 , +0.0000e+00, -3.9729e-09 
5.67919e+05 , +7.7461e+05 , +7.7447e+05 , +1.4609e+02 , +3.6945e+02 , +5.1554e+02 , -1.4609e+02 , +7.7498e+05 , +7.7498e+05 , -3.1249e-09 , +0.0000e+00, -3.1249e-09 
8.38552e+05 , +8.0696e+05 , +8.0688e+05 , +7.8311e+01 , +2.6940e+02 , +3.4771e+02 , -7.8311e+01 , +8.0723e+05 , +8.0723e+05 , -4.4201e-10 , +0.0000e+00, -4.4201e-10 
1.23815e+06 , +8.2945e+05 , +8.2941e+05 , +3.7607e+01 , +1.7940e+02 , +2.1700e+02 , -3.7607e+01 , +8.2962e+05 , +8.2962e+05 , -1.8217e-09 , +0.0000e+00, -1.8217e-09 
1.82817e+06 , +8.4403e+05 , +8.4401e+05 , +1.6438e+01 , +1.0592e+02 , +1.2236e+02 , -1.6438e+01 , +8.4413e+05 , +8.4413e+05 , -2.3171e-10 , +0.0000e+00, -2.3171e-10 
2.69936e+06 , +8.5273e+05 , +8.5272e+05 , +6.4038e+00 , +5.2902e+01 , +5.9306e+01 , -6.4038e+00 , +8.5278e+05 , +8.5278e+05 , -1.6061e-09 , +0.0000e+00, -1.6061e-09 
3.98570e+06 , +8.5736e+05 , +8.5736e+05 , +2.0727e+00 , +2.0824e+01 , +2.2897e+01 , -2.0727e+00 , +8.5738e+05 , +8.5738e+05 , -2.2707e-09 , +0.0000e+00, -2.2707e-09 
5.88503e+06 , +8.5936e+05 , +8.5936e+05 , +4.9830e-01 , +5.8242e+00 , +6.3225e+00 , -4.9830e-01 , +8.5936e+05 , +8.5936e+05 , +1.5315e-08 , +0.0000e+00, +1.5315e-08 
8.68945e+06 , +8.6000e+05 , +8.6000e+05 , +7.5979e-02 , +9.9528e-01 , +1.0713e+00 , -7.5979e-02 , +8.6001e+05 , +8.6001e+05 , +9.6160e-09 , +0.0000e+00, +9.6160e-09 
1.28303e+07 , +8.6015e+05 , +8.6015e+05 , +5.8838e-03 , +8.2479e-02 , +8.8363e-02 , -5.8838e-03 , +8.6015e+05 , +8.6015e+05 , +6.6285e-09 , +0.0000e+00, +6.6285e-09 
1.89444e+07 , +8.6017e+05 , +8.6017e+05 , +1.6136e-04 , +2.3250e-03 , +2.4864e-03 , -1.6140e-04 , +8.6017e+05 , +8.6017e+05 , -3.6297e-08 , +0.0000e+00, -3.6297e-08 
2.79720e+07 , +8.6018e+05 , +8.6018e+05 , +1.6261e-06 , +6.0868e-07 , +2.3517e-06 , -1.7430e-06 , +8.6018e+05 , +8.6018e+05 , -1.1691e-07 , +0.0000e+00, -1.1691e-07 
2.80000e+07 , +8.6018e+05 , +8.6018e+05 , +1.7327e-06 , +1.9352e-07 , +1.9352e-06 , -1.7417e-06 , +8.6018e+05 , +8.6018e+05 , -8.9255e-09 , +0.0000e+00, -8.9255e-09 
