# pressure  , U_LW        , D_LW        , N_LW        , U_SW        , D_SW        , N_SW        , U           , D           , N           , C           , tot      
# [Pa]      , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]  
1.70252e+04 , +2.3224e+04 , +2.3204e+04 , +2.0059e+01 , +8.5135e+02 , +3.4538e+03 , -2.6024e+03 , +2.4076e+04 , +2.6658e+04 , -2.5823e+03 , +0.0000e+00, +0.0000e+00 
2.51383e+04 , +2.3224e+04 , +2.3224e+04 , +8.2135e-01 , +8.3322e+02 , +3.0470e+03 , -2.2138e+03 , +2.4058e+04 , +2.6271e+04 , -2.2130e+03 , +0.0000e+00, +0.0000e+00 
3.71176e+04 , +2.3224e+04 , +2.3224e+04 , +3.2995e-02 , +8.0851e+02 , +2.6625e+03 , -1.8540e+03 , +2.4033e+04 , +2.5887e+04 , -1.8540e+03 , +0.0000e+00, +0.0000e+00 
5.48055e+04 , +2.3224e+04 , +2.3224e+04 , +7.6470e-03 , +7.7573e+02 , +2.2642e+03 , -1.4884e+03 , +2.4000e+04 , +2.5489e+04 , -1.4884e+03 , +0.0000e+00, +0.0000e+00 
8.09222e+04 , +2.3224e+04 , +2.3224e+04 , +6.6426e-03 , +7.3338e+02 , +1.8615e+03 , -1.1282e+03 , +2.3958e+04 , +2.5086e+04 , -1.1282e+03 , +0.0000e+00, +0.0000e+00 
1.19484e+05 , +2.3224e+04 , +2.3224e+04 , +6.7846e-03 , +6.8073e+02 , +1.4817e+03 , -8.0096e+02 , +2.3905e+04 , +2.4706e+04 , -8.0095e+02 , +0.0000e+00, +0.0000e+00 
1.76423e+05 , +2.3230e+04 , +2.3224e+04 , +5.1754e+00 , +6.1735e+02 , +1.1528e+03 , -5.3542e+02 , +2.3847e+04 , +2.4377e+04 , -5.3025e+02 , +0.0000e+00, +0.0000e+00 
2.60495e+05 , +3.2505e+04 , +3.2482e+04 , +2.2936e+01 , +5.4399e+02 , +8.8354e+02 , -3.3955e+02 , +3.3049e+04 , +3.3366e+04 , -3.1661e+02 , +1.0831e-15, +0.0000e+00 
3.84630e+05 , +4.7981e+04 , +4.7965e+04 , +1.5381e+01 , +4.6159e+02 , +6.6944e+02 , -2.0785e+02 , +4.8442e+04 , +4.8635e+04 , -1.9247e+02 , +0.0000e+00, +0.0000e+00 
5.67919e+05 , +7.0828e+04 , +7.0816e+04 , +1.1723e+01 , +3.7395e+02 , +4.9398e+02 , -1.2004e+02 , +7.1202e+04 , +7.1310e+04 , -1.0831e+02 , +1.1374e-15, +0.0000e+00 
